specialty_code;profile;institution_name;education_form;funding;category;plan_places;current_places;fraction
Sp 03.04.02;Медицинская физика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 03.04.02;Цифровые технологии в физике функциональных материалов;УУНиТ;Очная;Бюджетная основа;Общая;10;3;0.3
Sp 03.04.02;Цифровые технологии в физике функциональных материалов;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 03.04.03;Радиофизика;УУНиТ;Очная;Бюджетная основа;Общая;8;2;0.25
Sp 03.04.03;Радиофизика;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 04.03.01;Химия;УУНиТ;Очная;Бюджетная основа;Общая;50;7;0.14
Sp 04.03.01;Химия;УУНиТ;Очная;Бюджетная основа;Особая;5;0;0.0
Sp 04.03.01;Химия;УУНиТ;Очная;Бюджетная основа;Отдельная;5;1;0.2
Sp 04.03.01;Химия;УУНиТ;Очная;Бюджетная основа;Целевая;5;1;0.2
Sp 04.03.01;Химия (Бирск);Филиал в г. Бирск;Очная;Бюджетная основа;Общая;18;15;0.8333333333333334
Sp 04.03.01;Химия (Бирск);Филиал в г. Бирск;Очная;Бюджетная основа;Особая;2;0;0.0
Sp 04.03.01;Химия (Бирск);Филиал в г. Бирск;Очная;Бюджетная основа;Отдельная;2;0;0.0
Sp 04.03.01;Химия (Бирск);Филиал в г. Бирск;Очная;Бюджетная основа;Целевая;2;1;0.5
Sp 04.03.01;Химия (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;25;8;0.32
Sp 04.03.01;Химия (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Особая;3;1;0.3333333333333333
Sp 04.03.01;Химия (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 04.03.01;Химия (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;2;1;0.5
Sp 04.03.02;Химия, физика и механика материалов;УУНиТ;Очная;Бюджетная основа;Общая;25;1;0.04
Sp 04.03.02;Химия, физика и механика материалов;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 04.03.02;Химия, физика и механика материалов;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 04.03.02;Химия, физика и механика материалов;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 04.04.01;Химия;УУНиТ;Очно-заочная;Бюджетная основа;Общая;27;12;0.4444444444444444
Sp 04.04.01;Химия (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;13;9;0.6923076923076923
Sp 04.04.01;Химия (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;1;1;1.0
Sp 04.04.01;Химия;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 04.04.02;Химия, физика и механика материалов;УУНиТ;Очная;Бюджетная основа;Общая;15;11;0.7333333333333333
Sp 04.04.02;Химия, физика и механика материалов;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 04.05.01;Фундаментальная и прикладная химия;УУНиТ;Очная;Бюджетная основа;Общая;48;10;0.20833333333333334
